,transbig,unt,upp,mainz,nki,GSE6532,GEO736,TCGA753,TCGA500,UK,HEL,GSE19783
AURKA,0.734779319,0.19282134,0.005602784,0.003372995,9.46E-07,1.24E-05,0.035362765,0.21623757,0.430699824,3.94E-07,0.211488809,0.658973308
ESR1,0.171802373,0.894489106,0.283031641,0.32019383,0.006159167,0.364727503,0.000752797,0.712886626,0.804264248,0.028499309,0.206338184,0.12626758
ERBB2,0.032073044,0.707122603,0.09156698,0.453838718,0.906160853,0.908439294,0.071568247,0.066312056,0.41817261,0.259968397,0.49585605,0.758285153
GGI,0.002289803,0.046499817,0.001644744,0.023128904,9.64E-07,2.20E-05,0.001049908,0.016681753,0.220773917,1.68E-07,0.084589248,0.564248804
Robust,0.648366957,0.503386932,0.363730885,0.322358662,0.113560188,0.307849244,0.216023076,0.893952525,0.062982517,3.32E-07,0.025986025,0.577769138
GENIUS,0.00132271,0.035473748,0.000486328,0.000915741,3.16E-11,1.25E-05,0.001256287,0.00402196,0.066843466,2.11E-05,0.219393882,0.746313828
Endopredict,0.007247427,0.286935085,0.000159389,0.00947218,4.78E-05,7.62E-05,0.000522165,0.098078357,0.744447387,3.93E-06,0.002408728,0.902827874
OncotypeDx,0.001012303,0.019967486,0.003991743,0.001561409,2.20E-10,0.000217897,3.19E-05,0.0665406,0.242804753,5.24E-06,0.003373928,0.063697839
TAMR13,0.56733704,0.084749006,0.000903647,0.016462573,2.79E-07,1.08E-05,0.035571754,0.031200198,0.482357433,3.29E-05,0.574762773,0.98297448
PIK3CAGS,0.525046547,0.640186547,0.800010754,0.413227666,0.209343497,0.010205418,0.467440633,0.06624419,0.439322078,0.049349634,0.285496568,0.689380844
GENE70,0.200615297,0.081504126,0.001519688,0.011176183,1.93E-12,7.01E-07,0.000944183,0.023480532,0.248664813,1.79E-07,0.042629949,0.934880985
rorS,0.002161646,0.080696209,0.000264298,0.104766795,3.65E-07,1.10E-05,2.24E-05,0.03251737,0.541241718,7.77E-07,0.159943269,0.759418077
DGBCox,0.000413331,0.029358997,6.91E-06,0.007651979,4.46E-08,4.48E-06,5.19E-07,0.000653165,0.01694504,1.32E-06,0.033518835,0.457873719
