,transbig,unt,upp,mainz,nki,GSE6532,GEO736,TCGA753,TCGA500,UK,HEL,GSE19783
AURKA,1.089997388,1.647188982,2.163116989,2.481066313,2.579049758,2.117786135,1.25235841,1.359253214,1.20806911,3.398567205,1.657318766,1.1445877
ESR1,0.705443854,1.052031489,0.74572285,0.742254354,0.592736492,0.857387242,0.697175072,0.912675014,0.941882904,0.605525434,0.593895243,0.625632
ERBB2,1.746735468,1.153360223,1.588852204,0.801266906,0.977628544,0.980754113,0.824304293,0.623521291,0.819370504,0.772742079,0.760628732,0.9105417
GGI,2.206512185,2.195094669,2.415859725,1.995102805,2.582621987,2.073386954,1.420289272,1.818817794,1.343026657,3.515602877,2.023297819,1.1927214
Robust,0.964491936,1.130124089,0.771477019,0.70304718,0.915091656,0.989731675,0.89606894,1.106250023,0.704346662,3.104153958,1.889756391,0.843272829
GENIUS,2.304003583,2.244563178,2.718463939,2.773228727,3.8318184,2.116976214,1.413362491,2.036734072,1.555172113,2.733447665,1.643160579,1.1049157
Endopredict,2.001132845,1.499947091,2.929316738,2.219624934,2.161986272,1.972299432,1.450306525,1.509715615,1.08156917,2.957556158,3.760392271,0.9638946
OncotypeDx,2.35965315,2.487835186,2.248115359,2.707825182,3.425541211,1.884836843,1.56117503,1.581216555,1.324045212,2.921048145,3.610689723,1.7620569
TAMR13,1.156595138,1.956307181,2.556679488,2.070214686,2.731429527,2.139449712,1.252306631,1.705921945,1.183075599,2.646782552,1.253276554,1.0070481
PIK3CAGS,0.848705929,1.195251404,1.070771295,0.783951613,0.786083756,0.645553413,0.925118332,0.633154713,0.829977186,0.635737575,0.648699543,1.1295847
GENE70,1.385145085,1.964059423,2.458415951,2.179374786,4.063527746,2.373603422,1.424489844,1.764489007,1.318554486,3.4595727,2.327360136,0.9752525
rorS,2.215977215,1.967584653,2.836328714,1.626315505,2.698174783,2.127641124,1.575011093,1.703679625,1.157644128,3.25355605,1.763400212,0.9116882
DGBCox,2.505370507,2.309939244,3.672214532,2.300218714,2.951737758,2.207976672,1.71184089,2.362928476,1.78643097,3.138677465,2.419196539,1.254299415
