,transbig,unt,upp,mainz,nki,GSE6532,GEO736,TCGA753,TCGA500,UK,HEL,GSE19783
AURKA,0.248840972,0.201919434,0.139243382,0.17953706,0.317109792,0.315896121,0.310736624,0.297808785,0.218876559,0.148788734,0.118450701,0.190277573
ESR1,0.206353426,0.227981311,0.141778535,0.173944584,0.219550701,0.211364781,0.295478901,0.196953477,0.285662798,0.161012443,0.117447261,0.182736428
ERBB2,0.212833353,0.17257976,0.143322853,0.179682206,0.264606947,0.263033227,0.304562723,0.228072211,0.214548151,0.16562794,0.125186126,0.193716028
GGI,0.23169295,0.205937043,0.139085683,0.181496228,0.320919622,0.321506568,0.271524604,0.296953969,0.201857514,0.172876233,0.121081257,0.222141861
Robust,0.334752608,0.53620196,0.164645088,0.235118914,0.487263373,0.4666557,0.36682263,0.383069417,0.514459134,0.218169075,0.143756689,0.266674519
GENIUS,0.202081619,0.150850663,0.134266796,0.165502133,0.197506239,0.204100179,0.305498746,0.216635072,0.25636989,0.152912822,0.118741782,0.193133536
Endopredict,0.206759048,0.165053192,0.137637107,0.171874965,0.197530836,0.203714182,0.289133862,0.224184958,0.254273936,0.146909073,0.116781695,0.182378028
OncotypeDx,0.203013033,0.162352939,0.139393933,0.173930645,0.191373611,0.202896516,0.257922357,0.212994649,0.22645358,0.147663356,0.1153863,0.184172679
TAMR13,0.245421711,0.637727678,0.153812885,0.200721809,0.551025821,0.533702502,0.29297642,0.231765031,0.341621301,0.16074285,0.116836438,0.203902772
PIK3CAGS,0.201278604,0.172594477,0.141546579,0.172189362,0.20304369,0.194925052,0.301865126,0.203122226,0.266233429,0.162780688,0.11915795,0.19320459
GENE70,0.214897177,0.174313823,0.141858909,0.164865013,0.19627544,0.200641115,0.302697444,0.224023672,0.298296151,0.155777345,0.11813288,0.198048338
rorS,0.21789277,0.160156985,0.13730508,0.1669671,0.19278335,0.204483395,0.292264604,0.216428691,0.269367929,0.155265129,0.117489173,0.190565562
DGBCox,0.21390607,0.16952781,0.13634827,0.17699548,0.18473743,0.19891084,0.27024728,0.20592296,0.25394743,0.14339495,0.11774509,0.19171465
